Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
340.000000	0.0965143 	340.000000	0.10097   	340.000000	0.100434  	340.000000	0.0998848 	340.000000	0.10043   	340.000000	0.100943  	340.000000	2.67458e-05	
350.000000	0.0950584 	350.000000	0.0994801 	350.000000	0.0989553 	350.000000	0.0984078 	350.000000	0.098949  	350.000000	0.0994541 	350.000000	2.60399e-05	
360.000000	0.0936809 	360.000000	0.098073  	360.000000	0.0975548 	360.000000	0.0970137 	360.000000	0.0975513 	360.000000	0.0980477 	360.000000	2.53716e-05	
370.000000	0.0923759 	370.000000	0.096742  	370.000000	0.0962276 	370.000000	0.0956961 	370.000000	0.0962304 	370.000000	0.0967172 	370.000000	2.47379e-05	
380.000000	0.0911379 	380.000000	0.0954811 	380.000000	0.0949756 	380.000000	0.0944489 	380.000000	0.0949797 	380.000000	0.0954569 	380.000000	2.41362e-05	
390.000000	0.089962  	390.000000	0.0942851 	390.000000	0.0937927 	390.000000	0.093267  	390.000000	0.0937946 	390.000000	0.0942616 	390.000000	2.35642e-05	
400.000000	0.0888437 	400.000000	0.0931494 	400.000000	0.0926699 	400.000000	0.0921457 	400.000000	0.0926703 	400.000000	0.0931264 	400.000000	2.30196e-05	
410.000000	0.087779  	410.000000	0.0920696 	410.000000	0.0916024 	410.000000	0.0910805 	410.000000	0.091602  	410.000000	0.0920471 	410.000000	2.25004e-05	
420.000000	0.0867644 	420.000000	0.0910419 	420.000000	0.0905872 	420.000000	0.0900675 	420.000000	0.0905861 	420.000000	0.0910199 	420.000000	2.20051e-05	
430.000000	0.0857964 	430.000000	0.0900627 	430.000000	0.0896213 	430.000000	0.0891033 	430.000000	0.0896192 	430.000000	0.0900412 	430.000000	2.15318e-05	
440.000000	0.084872  	440.000000	0.0891288 	440.000000	0.0887018 	440.000000	0.0881845 	440.000000	0.0886977 	440.000000	0.0891078 	440.000000	2.10791e-05	
450.000000	0.0839886 	450.000000	0.0882374 	450.000000	0.0878237 	450.000000	0.0873083 	450.000000	0.0878188 	450.000000	0.0882167 	450.000000	2.06458e-05	
460.000000	0.0831435 	460.000000	0.0873856 	460.000000	0.0869822 	460.000000	0.0864718 	460.000000	0.0869798 	460.000000	0.0873654 	460.000000	2.02306e-05	
470.000000	0.0823344 	470.000000	0.0865712 	470.000000	0.0861766 	470.000000	0.0856727 	470.000000	0.0861783 	470.000000	0.0865513 	470.000000	1.98323e-05	
480.000000	0.0815592 	480.000000	0.0857917 	480.000000	0.0854079 	480.000000	0.0849085 	480.000000	0.0854118 	480.000000	0.0857722 	480.000000	1.945e-05 	
490.000000	0.0808159 	490.000000	0.0850451 	490.000000	0.0846749 	490.000000	0.0841773 	490.000000	0.0846782 	490.000000	0.085026  	490.000000	1.90826e-05	
500.000000	0.0801027 	500.000000	0.0843295 	500.000000	0.0839741 	500.000000	0.083477  	500.000000	0.0839758 	500.000000	0.0843107 	500.000000	1.87294e-05	
520.000000	0.0787599 	520.000000	0.0829843 	520.000000	0.0826571 	520.000000	0.0821624 	520.000000	0.082657  	520.000000	0.0829662 	520.000000	1.8062e-05	
540.000000	0.077519  	540.000000	0.0817435 	540.000000	0.0814439 	540.000000	0.0809519 	540.000000	0.0814424 	540.000000	0.0817261 	540.000000	1.74422e-05	
560.000000	0.0763694 	560.000000	0.0805962 	560.000000	0.080324  	560.000000	0.0798345 	560.000000	0.0803213 	560.000000	0.0805793 	560.000000	1.68649e-05	
580.000000	0.0753022 	580.000000	0.079533  	580.000000	0.0792866 	580.000000	0.0788006 	580.000000	0.0792839 	580.000000	0.0795167 	580.000000	1.63259e-05	
600.000000	0.0743097 	600.000000	0.0785457 	600.000000	0.0783223 	600.000000	0.0778421 	600.000000	0.0783221 	600.000000	0.0785299 	600.000000	1.58214e-05	
620.000000	0.0733848 	620.000000	0.0776271 	620.000000	0.0774261 	620.000000	0.0769516 	620.000000	0.0774284 	620.000000	0.0776118 	620.000000	1.53482e-05	
640.000000	0.0725217 	640.000000	0.076771  	640.000000	0.0765949 	640.000000	0.0761228 	640.000000	0.0765967 	640.000000	0.0767561 	640.000000	1.49035e-05	
660.000000	0.071715  	660.000000	0.0759719 	660.000000	0.075821  	660.000000	0.0753502 	660.000000	0.0758212 	660.000000	0.0759574 	660.000000	1.44846e-05	
680.000000	0.07096   	680.000000	0.0752248 	680.000000	0.0750978 	680.000000	0.0746287 	680.000000	0.075097  	680.000000	0.0752107 	680.000000	1.40895e-05	
